[Epoch 1 | Batch 301] Total IL loss: 1.1909
[Epoch 1 | Batch 302] Total IL loss: 1.2114
[Epoch 1 | Batch 303] Total IL loss: 1.2481
[Epoch 1 | Batch 304] Total IL loss: 1.2187
[Epoch 1 | Batch 305] Total IL loss: 1.1539
[Epoch 1 | Batch 306] Total IL loss: 1.1846
[Epoch 1 | Batch 307] Total IL loss: 1.1400
[Epoch 1 | Batch 308] Total IL loss: 1.1639
[Epoch 1 | Batch 309] Total IL loss: 1.1910
[Epoch 1 | Batch 310] Total IL loss: 1.1813
[Epoch 1 | Batch 311] Total IL loss: 1.2990
[Epoch 1 | Batch 312] Total IL loss: 1.1691
[Epoch 1 | Batch 313] Total IL loss: 1.0928
[Epoch 1 | Batch 314] Total IL loss: 1.0945
[Epoch 1 | Batch 315] Total IL loss: 1.1346
[Epoch 1 | Batch 316] Total IL loss: 1.3525
[Epoch 1 | Batch 317] Total IL loss: 1.0375
[Epoch 1 | Batch 318] Total IL loss: 1.2225
[Epoch 1 | Batch 319] Total IL loss: 1.3069
[Epoch 1 | Batch 320] Total IL loss: 1.2295
[Epoch 1 | Batch 321] Total IL loss: 1.3290
[Epoch 1 | Batch 322] Total IL loss: 1.3080
[Epoch 1 | Batch 323] Total IL loss: 1.2474
[Epoch 1 | Batch 324] Total IL loss: 1.2123
[Epoch 1 | Batch 325] Total IL loss: 1.2140
[Epoch 1 | Batch 326] Total IL loss: 1.2438
[Epoch 1 | Batch 327] Total IL loss: 1.1933
[Epoch 1 | Batch 328] Total IL loss: 1.2024
[Epoch 1 | Batch 329] Total IL loss: 1.1981
[Epoch 1 | Batch 330] Total IL loss: 0.9966
[Epoch 1 | Batch 331] Total IL loss: 1.2107
[Epoch 1 | Batch 332] Total IL loss: 1.2726
[Epoch 1 | Batch 333] Total IL loss: 1.3468
[Epoch 1 | Batch 334] Total IL loss: 1.2237
[Epoch 1 | Batch 335] Total IL loss: 1.1560
[Epoch 1 | Batch 336] Total IL loss: 1.3356
[Epoch 1 | Batch 337] Total IL loss: 1.2619
[Epoch 1 | Batch 338] Total IL loss: 1.2569
[Epoch 1 | Batch 339] Total IL loss: 1.3206
[Epoch 1 | Batch 340] Total IL loss: 1.3163
[Epoch 1 | Batch 341] Total IL loss: 1.1809
[Epoch 1 | Batch 342] Total IL loss: 1.3186
[Epoch 1 | Batch 343] Total IL loss: 1.3397
[Epoch 1 | Batch 344] Total IL loss: 1.3638
[Epoch 1 | Batch 345] Total IL loss: 1.1818
[Epoch 1 | Batch 346] Total IL loss: 1.1817
[Epoch 1 | Batch 347] Total IL loss: 1.3184
[Epoch 1 | Batch 348] Total IL loss: 1.1932
[Epoch 1 | Batch 349] Total IL loss: 1.2302
[Epoch 1 | Batch 350] Total IL loss: 1.3430
[Epoch 1 | Batch 351] Total IL loss: 1.3346
[Epoch 1 | Batch 352] Total IL loss: 1.2234
[Epoch 1 | Batch 353] Total IL loss: 1.1505
[Epoch 1 | Batch 354] Total IL loss: 1.1873
[Epoch 1 | Batch 355] Total IL loss: 0.9986
[Epoch 1 | Batch 356] Total IL loss: 1.1766
[Epoch 1 | Batch 357] Total IL loss: 1.1290
[Epoch 1 | Batch 358] Total IL loss: 1.2602
[Epoch 1 | Batch 359] Total IL loss: 1.1673
[Epoch 1 | Batch 360] Total IL loss: 1.2732
