[Epoch 1 | Batch 336] Total IL loss: 0.9826
[Epoch 1 | Batch 337] Total IL loss: 1.2881
[Epoch 1 | Batch 338] Total IL loss: 1.1690
[Epoch 1 | Batch 339] Total IL loss: 1.1801
[Epoch 1 | Batch 340] Total IL loss: 1.2238
[Epoch 1 | Batch 341] Total IL loss: 1.1800
[Epoch 1 | Batch 342] Total IL loss: 1.1496
[Epoch 1 | Batch 343] Total IL loss: 1.3272
[Epoch 1 | Batch 344] Total IL loss: 1.2119
[Epoch 1 | Batch 345] Total IL loss: 1.1320
[Epoch 1 | Batch 346] Total IL loss: 1.3541
[Epoch 1 | Batch 347] Total IL loss: 1.3325
[Epoch 1 | Batch 348] Total IL loss: 1.4677
[Epoch 1 | Batch 349] Total IL loss: 1.2820
[Epoch 1 | Batch 350] Total IL loss: 1.2813
[Epoch 1 | Batch 351] Total IL loss: 1.2393
[Epoch 1 | Batch 352] Total IL loss: 1.2339
[Epoch 1 | Batch 353] Total IL loss: 1.3037
[Epoch 1 | Batch 354] Total IL loss: 1.2298
[Epoch 1 | Batch 355] Total IL loss: 1.2727
[Epoch 1 | Batch 356] Total IL loss: 1.1343
[Epoch 1 | Batch 357] Total IL loss: 1.2307
[Epoch 1 | Batch 358] Total IL loss: 1.1530
[Epoch 1 | Batch 359] Total IL loss: 1.2511
[Epoch 1 | Batch 360] Total IL loss: 1.1882
[Epoch 1 | Batch 361] Total IL loss: 1.2547
[Epoch 1 | Batch 362] Total IL loss: 1.2870
[Epoch 1 | Batch 363] Total IL loss: 1.1951
[Epoch 1 | Batch 364] Total IL loss: 1.1755
[Epoch 1 | Batch 365] Total IL loss: 1.3341
[Epoch 1 | Batch 366] Total IL loss: 1.1076
[Epoch 1 | Batch 367] Total IL loss: 1.2203
[Epoch 1 | Batch 368] Total IL loss: 1.3223
[Epoch 1 | Batch 369] Total IL loss: 1.1346
[Epoch 1 | Batch 370] Total IL loss: 1.1790
[Epoch 1 | Batch 371] Total IL loss: 1.1024
[Epoch 1 | Batch 372] Total IL loss: 1.1026
[Epoch 1 | Batch 373] Total IL loss: 1.2296
[Epoch 1 | Batch 374] Total IL loss: 1.1913
[Epoch 1 | Batch 375] Total IL loss: 1.2739
[Epoch 1 | Batch 376] Total IL loss: 1.2054
[Epoch 1 | Batch 377] Total IL loss: 1.2127
[Epoch 1 | Batch 378] Total IL loss: 1.2683
[Epoch 1 | Batch 379] Total IL loss: 1.1661
[Epoch 1 | Batch 380] Total IL loss: 1.1754
[Epoch 1 | Batch 381] Total IL loss: 1.1728
[Epoch 1 | Batch 382] Total IL loss: 1.1955
[Epoch 1 | Batch 383] Total IL loss: 1.1640
[Epoch 1 | Batch 384] Total IL loss: 1.3453
[Epoch 1 | Batch 385] Total IL loss: 1.1657
[Epoch 1 | Batch 386] Total IL loss: 1.1099
[Epoch 1 | Batch 387] Total IL loss: 1.1439
[Epoch 1 | Batch 388] Total IL loss: 1.1983
[Epoch 1 | Batch 389] Total IL loss: 1.2344
[Epoch 1 | Batch 390] Total IL loss: 1.2977
[Epoch 1 | Batch 391] Total IL loss: 1.2053
[Epoch 1 | Batch 392] Total IL loss: 1.2724
[Epoch 1 | Batch 393] Total IL loss: 1.1784
[Epoch 1 | Batch 394] Total IL loss: 1.1806
[Epoch 1 | Batch 395] Total IL loss: 1.1744
[Epoch 1 | Batch 396] Total IL loss: 1.2386
[Epoch 1 | Batch 397] Total IL loss: 1.1853
[Epoch 1 | Batch 398] Total IL loss: 1.1760
[Epoch 1 | Batch 399] Total IL loss: 1.2849
[Epoch 1 | Batch 400] Total IL loss: 1.2339
[Epoch 1 | Batch 401] Total IL loss: 1.1777
[Epoch 1 | Batch 402] Total IL loss: 1.2144
[Epoch 1 | Batch 403] Total IL loss: 1.3017
[Epoch 1 | Batch 404] Total IL loss: 1.2190
[Epoch 1 | Batch 405] Total IL loss: 1.1990
[Epoch 1 | Batch 406] Total IL loss: 1.2259
[Epoch 1 | Batch 407] Total IL loss: 1.2414
[Epoch 1 | Batch 408] Total IL loss: 1.2811
[Epoch 1 | Batch 409] Total IL loss: 1.1573
[Epoch 1 | Batch 410] Total IL loss: 1.1105
[Epoch 1 | Batch 411] Total IL loss: 1.2525
[Epoch 1 | Batch 412] Total IL loss: 1.1302
[Epoch 1 | Batch 413] Total IL loss: 1.2545
[Epoch 1 | Batch 414] Total IL loss: 1.2164
[Epoch 1 | Batch 415] Total IL loss: 1.3171
[Epoch 1 | Batch 416] Total IL loss: 1.2958
